time,Temperature (°C),Pressure (Pa)
2018-02-21 22:05:20.066,21.51,102351.96
2018-02-21 22:05:20.069,21.1,102369.1
2018-02-21 22:05:20.070,21.1,102369.1
2018-02-21 22:05:20.072,21.08,102360.72
2018-02-21 22:05:20.074,21.09,102365.66
2018-02-21 22:05:20.076,21.08,102363.39
2018-02-21 22:05:20.080,21.08,102363.39
2018-02-21 22:05:20.084,21.1,102367.21
2018-02-21 22:05:20.086,21.1,102364.53
2018-02-21 22:05:20.088,21.1,102359.2
2018-02-21 22:05:20.092,21.1,102359.2
2018-02-21 22:05:20.097,21.11,102363.41
2018-02-21 22:05:20.101,21.12,102361.52
2018-02-21 22:05:20.105,21.12,102361.52
2018-02-21 22:05:20.109,21.12,102361.52
2018-02-21 22:05:20.113,21.13,102365.71
2018-02-21 22:05:20.117,21.14,102367.25
2018-02-21 22:05:20.121,21.14,102367.25
2018-02-21 22:05:20.123,21.14,102361.92
2018-02-21 22:05:20.125,21.15,102363.44
2018-02-21 22:05:20.129,21.15,102363.44
2018-02-21 22:05:20.133,21.15,102366.1
2018-02-21 22:05:20.137,21.15,102363.44
2018-02-21 22:05:20.142,21.16,102364.99
2018-02-21 22:05:20.146,21.16,102364.99
2018-02-21 22:05:20.150,21.16,102365.76
2018-02-21 22:05:20.153,21.17,102358.5
2018-02-21 22:05:20.158,21.17,102358.5
2018-02-21 22:05:20.159,21.18,102365.39
2018-02-21 22:05:20.162,21.18,102365.39
2018-02-21 22:05:20.166,21.18,102365.39
2018-02-21 22:05:20.170,21.18,102365.39
2018-02-21 22:05:20.174,21.19,102364.27
2018-02-21 22:05:20.178,21.19,102359.67
2018-02-21 22:05:20.183,21.19,102359.67
2018-02-21 22:05:20.186,21.2,102368.45
2018-02-21 22:05:20.190,21.2,102363.89
2018-02-21 22:05:20.195,21.2,102361.22
2018-02-21 22:05:20.196,21.2,102361.22
2018-02-21 22:05:20.199,21.21,102361.96
2018-02-21 22:05:20.203,21.2,102361.22
2018-02-21 22:05:20.207,21.21,102367.3
2018-02-21 22:05:20.211,21.21,102367.3
2018-02-21 22:05:20.216,21.23,102367.72
2018-02-21 22:05:20.219,21.23,102363.16
2018-02-21 22:05:20.223,21.23,102363.16
2018-02-21 22:05:20.227,21.23,102357.05
2018-02-21 22:05:20.232,21.24,102369.27
2018-02-21 22:05:20.233,21.23,102373.84
2018-02-21 22:05:20.236,21.23,102373.84
2018-02-21 22:05:20.240,21.25,102365.42
2018-02-21 22:05:20.244,21.24,102362.02
2018-02-21 22:05:20.248,21.24,102362.02
2018-02-21 22:05:20.252,21.25,102365.42
2018-02-21 22:05:20.257,21.24,102362.02
2018-02-21 22:05:20.261,21.26,102364.3
2018-02-21 22:05:20.264,21.26,102364.3
2018-02-21 22:05:20.269,21.25,102363.53
2018-02-21 22:05:20.274,21.26,102358.97
2018-02-21 22:05:20.275,21.26,102358.97
2018-02-21 22:05:20.277,21.26,102362.41
2018-02-21 22:05:20.280,21.26,102367.75
2018-02-21 22:05:20.284,21.26,102359.75
2018-02-21 22:05:20.289,21.26,102359.75
2018-02-21 22:05:20.293,21.27,102365.85
2018-02-21 22:05:20.297,21.27,102363.96
2018-02-21 22:05:20.301,21.27,102363.96
2018-02-21 22:05:20.305,21.28,102362.07
2018-02-21 22:05:20.307,21.27,102363.96
2018-02-21 22:05:20.309,21.27,102360.52
2018-02-21 22:05:20.313,21.27,102360.52
2018-02-21 22:05:20.318,21.29,102369.66
2018-02-21 22:05:20.322,21.29,102366.25
2018-02-21 22:05:20.326,21.29,102366.25
2018-02-21 22:05:20.330,21.29,102371.59
2018-02-21 22:05:20.334,21.29,102368.92
2018-02-21 22:05:20.338,21.29,102371.59
2018-02-21 22:05:20.342,21.29,102371.59
2018-02-21 22:05:20.346,21.29,102369.66
2018-02-21 22:05:20.347,21.3,102365.1
2018-02-21 22:05:20.350,21.3,102365.1
2018-02-21 22:05:20.354,21.29,102366.25
2018-02-21 22:05:20.359,21.29,102366.99
2018-02-21 22:05:20.363,21.3,102365.1
2018-02-21 22:05:20.367,21.3,102365.1
2018-02-21 22:05:20.371,21.3,102367.77
2018-02-21 22:05:20.375,21.31,102369.32
2018-02-21 22:05:20.379,21.31,102370.09
2018-02-21 22:05:20.383,21.31,102370.09
2018-02-21 22:05:20.384,21.31,102369.32
2018-02-21 22:05:20.387,21.31,102369.32
2018-02-21 22:05:20.391,21.31,102369.32
2018-02-21 22:05:20.396,21.31,102367.42
2018-02-21 22:05:20.400,21.31,102366.64
2018-02-21 22:05:20.404,21.31,102367.42
2018-02-21 22:05:20.408,21.31,102367.42
2018-02-21 22:05:20.412,21.31,102356.75
2018-02-21 22:05:20.416,21.32,102365.53
2018-02-21 22:05:20.420,21.32,102365.53
2018-02-21 22:05:20.421,21.31,102369.32
2018-02-21 22:05:20.424,21.32,102365.53
2018-02-21 22:05:20.428,21.32,102360.19
2018-02-21 22:05:20.432,21.32,102360.19
2018-02-21 22:05:20.436,21.32,102368.19
2018-02-21 22:05:20.440,21.33,102367.05
2018-02-21 22:05:20.445,21.33,102367.05
2018-02-21 22:05:20.449,21.32,102365.53
2018-02-21 22:05:20.453,21.33,102367.05
2018-02-21 22:05:20.457,21.32,102365.53
2018-02-21 22:05:20.458,21.32,102365.53
2018-02-21 22:05:20.461,21.33,102367.05
2018-02-21 22:05:20.465,21.33,102356.37
2018-02-21 22:05:20.469,21.33,102356.37
2018-02-21 22:05:20.474,21.32,102355.63
2018-02-21 22:05:20.478,21.32,102360.96
2018-02-21 22:05:20.481,21.33,102369.71
2018-02-21 22:05:20.485,21.33,102369.71
2018-02-21 22:05:20.489,21.33,102361.71
2018-02-21 22:05:20.494,21.33,102359.03
2018-02-21 22:05:20.495,21.33,102356.37
2018-02-21 22:05:20.498,21.33,102356.37
2018-02-21 22:05:20.502,21.34,102368.6
2018-02-21 22:05:20.507,21.34,102360.58
2018-02-21 22:05:20.510,21.34,102360.58
2018-02-21 22:05:20.513,21.34,102360.58
2018-02-21 22:05:20.518,21.34,102369.36
2018-02-21 22:05:20.523,21.34,102358.69
2018-02-21 22:05:20.527,21.34,102358.69
2018-02-21 22:05:20.530,21.34,102360.58
2018-02-21 22:05:20.531,21.34,102357.92
2018-02-21 22:05:20.545,21.34,102357.92
2018-02-21 22:05:20.546,21.34,102361.36
2018-02-21 22:05:20.556,21.34,102357.92
2018-02-21 22:05:20.573,21.34,102358.69
2018-02-21 22:05:20.576,21.34,102358.69
2018-02-21 22:05:20.579,21.36,102363.65
2018-02-21 22:05:20.589,21.34,102373.92
2018-02-21 22:05:20.592,21.34,102373.92
2018-02-21 22:05:20.593,21.34,102363.25
2018-02-21 22:05:20.594,21.35,102359.44
2018-02-21 22:05:20.595,21.35,102362.11
2018-02-21 22:05:20.596,21.35,102362.11
2018-02-21 22:05:20.597,21.35,102359.44
2018-02-21 22:05:20.598,21.35,102370.11
2018-02-21 22:05:20.600,21.35,102370.11
2018-02-21 22:05:20.603,21.35,102359.44
2018-02-21 22:05:20.607,21.35,102362.11
2018-02-21 22:05:20.611,21.35,102359.44
2018-02-21 22:05:20.614,21.35,102359.44
2018-02-21 22:05:20.617,21.35,102364.77
2018-02-21 22:05:20.620,21.36,102360.99
2018-02-21 22:05:20.622,21.36,102360.99
2018-02-21 22:05:20.625,21.36,102360.99
2018-02-21 22:05:20.626,21.36,102360.99
2018-02-21 22:05:20.627,21.34,102358.69
2018-02-21 22:05:20.628,21.34,102358.69
2018-02-21 22:05:20.633,21.36,102363.65
2018-02-21 22:05:20.637,21.36,102366.32
2018-02-21 22:05:20.641,21.36,102360.99
2018-02-21 22:05:20.642,21.36,102360.99
2018-02-21 22:05:20.646,21.36,102360.99
2018-02-21 22:05:20.650,21.36,102358.32
2018-02-21 22:05:20.654,21.36,102358.32
2018-02-21 22:05:20.658,21.36,102360.99
2018-02-21 22:05:20.661,21.36,102361.75
2018-02-21 22:05:20.665,21.36,102366.32
2018-02-21 22:05:20.669,21.36,102366.32
2018-02-21 22:05:20.673,21.36,102367.1
2018-02-21 22:05:20.677,21.37,102365.17
2018-02-21 22:05:20.681,21.37,102365.17
2018-02-21 22:05:20.686,21.37,102359.83
2018-02-21 22:05:20.689,21.38,102366.72
2018-02-21 22:05:20.692,21.36,102359.09
2018-02-21 22:05:20.694,21.36,102359.09
2018-02-21 22:05:20.699,21.37,102360.61
2018-02-21 22:05:20.703,21.37,102360.61
2018-02-21 22:05:20.708,21.37,102360.61
2018-02-21 22:05:20.711,21.37,102363.28
